region,duration,entry_year,entry_month,entry_hour
Midwest,51.0,2023,8,15
Midwest,11.0,2020,6,15
Midwest,51.0,2023,8,15
Midwest,23.0,2021,4,2
Midwest,,2022,10,2
Midwest,11.0,2020,12,7
Midwest,,2022,4,21
Midwest,25.0,2021,2,15
Midwest,,2024,3,9
Midwest,39.0,2022,10,12
Midwest,,2024,7,21
Midwest,11.0,2020,4,19
Midwest,24.0,2021,8,9
Midwest,11.0,2020,4,7
Midwest,52.0,2023,12,23
Midwest,39.0,2022,11,12
Midwest,11.0,2020,2,14
Midwest,24.0,2021,10,10
Midwest,24.0,2021,5,20
Midwest,,2021,12,11
Midwest,39.0,2022,10,5
Midwest,39.0,2022,9,19
Midwest,11.0,2020,1,5
Midwest,39.0,2022,12,15
Midwest,52.0,2023,8,12
Midwest,24.0,2021,5,12
Midwest,24.0,2021,12,20
Midwest,,2020,8,7
Midwest,39.0,2022,3,12
Midwest,,2022,12,3
Midwest,39.0,2022,5,20
Midwest,,2022,3,14
Midwest,11.0,2020,7,14
Midwest,24.0,2021,8,3
Midwest,52.0,2023,2,9
Midwest,,2020,5,1
Midwest,38.0,2022,4,6
Midwest,53.0,2023,10,23
Midwest,37.0,2022,4,22
Midwest,11.0,2020,5,5
Midwest,,2020,6,23
Intermountain,37.0,2022,5,23
Intermountain,,2024,10,18
Intermountain,11.0,2020,4,12
Intermountain,,2024,2,17
Intermountain,37.0,2022,12,23
Intermountain,,2024,9,9
Intermountain,11.0,2020,11,10
Intermountain,,2024,9,11
Intermountain,37.0,2022,1,18
Intermountain,60.0,2024,8,8
Intermountain,,2024,7,14
Intermountain,24.0,2021,6,17
Intermountain,24.0,2021,6,23
Intermountain,,2023,5,20
Intermountain,,2021,11,1
Intermountain,,2021,11,7
Intermountain,37.0,2022,7,6
Intermountain,,2021,2,20
Intermountain,52.0,2023,4,4
Intermountain,,2024,10,14
Intermountain,25.0,2021,4,9
Intermountain,,2020,9,11
Intermountain,,2022,5,2
Intermountain,,2021,12,15
Intermountain,,2024,9,4
Intermountain,,2021,2,14
Intermountain,38.0,2022,11,7
Intermountain,,2024,9,0
Intermountain,52.0,2023,12,17
Intermountain,38.0,2022,4,16
Intermountain,38.0,2022,12,2
Intermountain,11.0,2020,11,13
Intermountain,,2024,7,3
Intermountain,12.0,2020,12,8
Intermountain,12.0,2020,3,10
Intermountain,12.0,2020,11,5
Intermountain,60.0,2024,7,15
Intermountain,52.0,2023,4,9
Intermountain,12.0,2020,3,7
Intermountain,12.0,2020,1,22
Intermountain,25.0,2021,4,10
Intermountain,38.0,2022,4,22
Intermountain,,2024,8,14
Intermountain,37.0,2022,8,7
Intermountain,12.0,2020,3,9
Intermountain,,2024,4,1
Intermountain,,2022,12,17
Intermountain,38.0,2022,1,5
Intermountain,38.0,2022,3,18
Intermountain,38.0,2022,2,20
Intermountain,12.0,2020,1,18
Intermountain,57.0,2023,11,20
Intermountain,,2023,7,9
Intermountain,60.0,2024,7,3
Intermountain,57.0,2023,2,6
Intermountain,24.0,2021,8,13
Intermountain,,2024,9,7
Intermountain,60.0,2024,1,5
Intermountain,59.0,2024,5,7
Intermountain,57.0,2023,12,16
Intermountain,59.0,2024,5,6
Intermountain,24.0,2021,5,20
Intermountain,41.0,2022,2,16
Intermountain,11.0,2020,5,5
Intermountain,57.0,2023,3,5
Intermountain,24.0,2021,12,14
Intermountain,24.0,2021,2,13
Intermountain,,2022,8,9
Intermountain,,2023,5,11
Intermountain,24.0,2021,10,22
Intermountain,,2020,11,10
Intermountain,11.0,2020,1,17
Intermountain,,2023,3,6
Intermountain,,2021,3,4
Intermountain,24.0,2021,9,9
Intermountain,24.0,2021,5,19
Intermountain,,2020,9,8
Intermountain,24.0,2021,6,11
Intermountain,58.0,2023,10,21
Intermountain,57.0,2023,3,1
Southeast,41.0,2022,8,2
Southeast,24.0,2021,10,13
Southeast,57.0,2023,7,19
Southeast,56.0,2023,11,23
Southeast,23.0,2021,8,6
Southeast,,2024,3,8
Southeast,12.0,2020,11,2
Southeast,23.0,2021,7,5
Southeast,41.0,2022,6,8
Southeast,41.0,2022,7,3
Southeast,41.0,2022,2,19
Southeast,24.0,2021,7,8
Southeast,11.0,2020,3,20
Southeast,11.0,2020,9,9
Southeast,56.0,2023,10,19
Southeast,,2024,4,5
Southeast,9.0,2020,6,0
Southeast,,2020,10,14
Southeast,,2023,3,2
Southeast,9.0,2020,3,1
Southeast,,2024,6,6
Southeast,24.0,2021,9,17
Southeast,,2023,12,21
Southeast,57.0,2023,12,20
Southeast,,2021,12,5
Southeast,24.0,2021,11,0
Southeast,9.0,2020,2,14
Southeast,,2023,1,7
Southeast,24.0,2021,4,23
Southeast,24.0,2021,12,16
Southeast,57.0,2023,9,18
Southeast,,2021,7,18
Southeast,,2024,4,11
Southeast,10.0,2020,7,10
Southeast,56.0,2023,2,0
Southeast,,2021,2,18
Southeast,56.0,2023,3,10
Southeast,10.0,2020,2,13
Southeast,56.0,2023,3,15
Southeast,56.0,2023,7,23
Southeast,40.0,2022,9,17
Southeast,61.0,2024,2,12
Southeast,24.0,2021,7,18
Southeast,56.0,2023,4,11
Southeast,,2024,4,21
Southeast,,2020,11,13
Southeast,,2024,8,9
Southeast,57.0,2023,5,12
Southeast,,2024,10,7
Southeast,24.0,2021,2,15
Southeast,,2024,1,5
Southeast,,2023,4,21
Southeast,39.0,2022,3,20
Southeast,24.0,2021,5,14
Southeast,9.0,2020,6,3
Southeast,24.0,2021,5,7
Southeast,,2024,7,19
Southeast,9.0,2020,6,21
Southeast,40.0,2022,12,3
Southeast,24.0,2021,5,2
Southeast,40.0,2022,3,4
Southeast,23.0,2021,12,9
Southeast,9.0,2020,8,11
Southeast,,2023,6,4
Southeast,,2023,2,15
Southeast,56.0,2023,1,6
Southeast,9.0,2020,2,1
Southeast,57.0,2023,7,18
Southeast,40.0,2022,2,10
Southeast,,2024,4,20
Southeast,,2020,3,11
Southeast,57.0,2023,3,9
Southeast,21.0,2021,11,6
Southeast,,2021,5,10
Southeast,21.0,2021,11,1
Southeast,57.0,2023,9,0
Southeast,,2024,3,8
Southeast,,2024,1,18
Southeast,57.0,2023,12,16
Southeast,,2024,10,23
Southeast,21.0,2021,2,15
Southeast,20.0,2021,5,16
Southeast,59.0,2024,4,12
Intermountain,20.0,2021,1,22
Intermountain,10.0,2020,5,7
Intermountain,,2024,1,0
Intermountain,20.0,2021,2,18
Intermountain,20.0,2021,11,6
Intermountain,10.0,2020,10,20
Intermountain,40.0,2022,11,14
Intermountain,10.0,2020,11,7
Intermountain,57.0,2023,6,17
Intermountain,10.0,2020,2,3
Intermountain,,2020,2,7
Intermountain,,2024,10,19
Intermountain,58.0,2023,9,14
Intermountain,42.0,2022,6,21
Intermountain,,2020,5,17
Intermountain,,2024,10,15
Intermountain,10.0,2020,2,18
Intermountain,,2021,9,3
Intermountain,,2024,9,12
Intermountain,,2021,12,8
Intermountain,40.0,2022,8,18
Intermountain,40.0,2022,1,5
Intermountain,,2024,4,3
Intermountain,40.0,2022,4,15
Intermountain,44.0,2023,1,21
Intermountain,40.0,2022,10,23
Intermountain,44.0,2023,1,1
Intermountain,,2021,1,21
Intermountain,46.0,2023,10,23
Intermountain,21.0,2021,2,6
Intermountain,46.0,2023,5,15
Intermountain,21.0,2021,5,13
Intermountain,,2024,8,21
Intermountain,10.0,2020,5,0
Intermountain,21.0,2021,8,12
Intermountain,,2022,5,21
Intermountain,,2024,7,22
Intermountain,10.0,2020,9,4
Intermountain,10.0,2020,3,10
Intermountain,21.0,2021,2,8
Intermountain,,2020,7,0
Intermountain,,2024,4,11
Intermountain,,2024,10,11
Intermountain,,2024,9,17
Intermountain,10.0,2020,10,19
Intermountain,,2022,11,9
Intermountain,21.0,2021,7,4
Intermountain,45.0,2023,8,23
Intermountain,21.0,2021,4,15
Intermountain,40.0,2022,11,13
Intermountain,39.0,2022,7,2
Intermountain,15.0,2020,10,21
Intermountain,,2024,3,18
Intermountain,45.0,2023,1,13
Intermountain,39.0,2022,11,18
Intermountain,,2021,2,20
Intermountain,40.0,2022,7,21
Intermountain,45.0,2023,8,9
Intermountain,,2024,8,0
Intermountain,,2024,8,12
Intermountain,,2023,4,19
Intermountain,46.0,2023,1,23
Intermountain,40.0,2022,8,5
Intermountain,21.0,2021,3,22
Intermountain,40.0,2022,1,22
Intermountain,,2021,4,1
Intermountain,,2020,5,9
Intermountain,,2024,1,12
Intermountain,14.0,2020,7,19
Intermountain,,2024,10,22
Intermountain,40.0,2022,12,6
Intermountain,20.0,2021,8,21
Intermountain,46.0,2023,10,7
Intermountain,20.0,2021,9,3
Intermountain,,2021,8,10
Intermountain,40.0,2022,2,23
Intermountain,20.0,2021,8,20
Intermountain,46.0,2023,1,19
Intermountain,,2024,1,23
Intermountain,20.0,2021,6,9
Intermountain,,2024,8,8
Intermountain,,2024,6,11
Intermountain,20.0,2021,9,12
Intermountain,,2024,6,23
Intermountain,46.0,2023,6,14
Intermountain,14.0,2020,11,11
Intermountain,,2024,1,20
Intermountain,,2024,6,20
Intermountain,,2022,8,7
Intermountain,41.0,2022,11,17
Intermountain,44.0,2023,12,20
Intermountain,41.0,2022,11,13
Intermountain,41.0,2022,12,0
Intermountain,44.0,2023,5,14
Intermountain,,2021,1,4
Intermountain,42.0,2022,6,10
Intermountain,,2024,1,13
Intermountain,42.0,2022,4,14
Intermountain,,2023,4,19
Intermountain,20.0,2021,10,8
Intermountain,20.0,2021,8,15
Intermountain,,2023,9,13
Intermountain,,2021,8,19
Intermountain,15.0,2020,12,17
Intermountain,42.0,2022,2,11
Intermountain,14.0,2020,9,15
Intermountain,,2021,12,16
Intermountain,41.0,2022,10,16
Intermountain,14.0,2020,11,2
Intermountain,45.0,2023,4,17
Intermountain,41.0,2022,1,0
Intermountain,14.0,2020,11,20
Intermountain,20.0,2021,8,9
Intermountain,20.0,2021,5,18
Intermountain,20.0,2021,1,21
Intermountain,14.0,2020,3,20
Intermountain,20.0,2021,5,6
Intermountain,,2024,9,1
Intermountain,45.0,2023,2,5
Intermountain,,2023,5,11
Intermountain,45.0,2023,11,16
Intermountain,,2021,10,2
Intermountain,,2020,12,17
Intermountain,45.0,2023,2,9
Intermountain,45.0,2023,2,2
Intermountain,,2024,6,9
Intermountain,45.0,2023,1,4
Intermountain,49.0,2023,11,21
Intermountain,49.0,2023,4,6
Intermountain,,2020,7,14
Intermountain,41.0,2022,1,8
Intermountain,49.0,2023,4,1
Intermountain,20.0,2021,6,22
Intermountain,20.0,2021,12,6
Intermountain,40.0,2022,7,0
Intermountain,49.0,2023,3,14
Intermountain,13.0,2020,2,21
Intermountain,59.0,2024,1,17
Intermountain,49.0,2023,1,11
Intermountain,41.0,2022,1,6
Intermountain,39.0,2022,7,6
Intermountain,13.0,2020,10,12
Intermountain,,2024,3,15
Intermountain,,2024,1,0
Intermountain,38.0,2022,6,11
Intermountain,,2024,8,1
Intermountain,12.0,2020,7,11
Intermountain,,2024,9,11
Intermountain,22.0,2021,11,23
Intermountain,12.0,2020,2,16
Intermountain,,2024,10,3
Intermountain,22.0,2021,10,21
Intermountain,49.0,2023,2,3
Intermountain,22.0,2021,1,9
Intermountain,,2023,8,19
Intermountain,49.0,2023,3,21
Intermountain,49.0,2023,8,7
Intermountain,,2023,10,20
Intermountain,,2021,6,16
Intermountain,,2020,4,0
Intermountain,,2024,1,17
Intermountain,,2024,8,23
Intermountain,,2024,1,8
Intermountain,,2024,2,3
Intermountain,12.0,2020,5,12
Intermountain,,2021,1,16
Intermountain,22.0,2021,10,16
Intermountain,22.0,2021,7,4
Intermountain,50.0,2023,4,3
Intermountain,,2022,11,21
Intermountain,,2022,7,12
Intermountain,50.0,2023,2,12
Intermountain,50.0,2023,4,5
Intermountain,38.0,2022,7,9
Intermountain,60.0,2024,5,4
Intermountain,,2021,12,15
Intermountain,22.0,2021,9,21
Intermountain,,2021,11,1
Intermountain,13.0,2020,7,21
Intermountain,13.0,2020,3,1
Intermountain,38.0,2022,2,11
Intermountain,,2020,3,17
Intermountain,,2021,5,2
Intermountain,13.0,2020,1,0
Intermountain,13.0,2020,4,17
Intermountain,38.0,2022,9,3
Intermountain,,2023,5,13
Intermountain,37.0,2022,5,20
Intermountain,,2022,4,7
Intermountain,37.0,2022,10,5
Intermountain,13.0,2020,4,23
Intermountain,,2024,1,15
Intermountain,13.0,2020,2,2
Intermountain,50.0,2023,1,8
Intermountain,13.0,2020,11,9
Intermountain,,2024,10,4
Intermountain,13.0,2020,12,22
Intermountain,50.0,2023,1,1
Intermountain,37.0,2022,9,19
Intermountain,13.0,2020,3,2
Intermountain,,2022,6,21
Intermountain,37.0,2022,8,18
Intermountain,47.0,2023,8,8
Intermountain,47.0,2023,3,15
Intermountain,13.0,2020,11,16
Intermountain,47.0,2023,8,18
Intermountain,13.0,2020,5,14
Intermountain,,2023,12,14
Intermountain,13.0,2020,10,16
Intermountain,,2023,3,15
Intermountain,37.0,2022,9,4
Intermountain,22.0,2021,10,6
Intermountain,,2020,5,2
Intermountain,,2021,2,4
Intermountain,47.0,2023,6,1
Intermountain,,2024,5,9
Intermountain,47.0,2023,4,2
Intermountain,47.0,2023,4,7
Intermountain,13.0,2020,1,5
Intermountain,22.0,2021,11,15
Intermountain,39.0,2022,3,20
Intermountain,,2020,11,13
Intermountain,,2020,1,16
Intermountain,39.0,2022,4,19
Intermountain,,2024,4,5
Intermountain,39.0,2022,5,1
Intermountain,48.0,2023,2,10
Intermountain,38.0,2022,12,9
Intermountain,,2024,7,11
Intermountain,48.0,2023,6,20
Intermountain,61.0,2024,10,3
Intermountain,38.0,2022,1,15
Intermountain,48.0,2023,4,6
Intermountain,,2024,2,16
Intermountain,48.0,2023,2,21
Intermountain,22.0,2021,10,11
Intermountain,48.0,2023,4,4
Intermountain,22.0,2021,4,20
Intermountain,,2023,4,11
Intermountain,,2024,7,8
Intermountain,,2024,1,17
Intermountain,48.0,2023,10,6
Intermountain,48.0,2023,9,1
Intermountain,,2023,10,22
Intermountain,48.0,2023,2,11
Intermountain,,2021,5,0
Intermountain,48.0,2023,2,10
Intermountain,,2024,3,9
Intermountain,3.0,2020,11,20
Intermountain,44.0,2022,7,7
Intermountain,,2020,1,2
Intermountain,44.0,2022,9,4
Intermountain,44.0,2022,2,1
Intermountain,47.0,2023,7,4
Intermountain,,2024,8,7
Intermountain,,2024,9,16
Intermountain,,2022,1,16
Intermountain,,2021,12,0
Intermountain,47.0,2023,9,14
Intermountain,42.0,2022,9,6
Intermountain,3.0,2020,4,17
Intermountain,61.0,2024,10,17
Intermountain,3.0,2020,2,16
Intermountain,,2021,7,21
Intermountain,42.0,2022,4,23
Intermountain,3.0,2020,8,21
Intermountain,,2022,3,4
Intermountain,,2024,6,23
Intermountain,42.0,2022,1,0
Intermountain,61.0,2024,8,8
Intermountain,21.0,2021,8,4
Intermountain,42.0,2022,12,13
Intermountain,21.0,2021,4,19
Intermountain,42.0,2022,10,14
Intermountain,21.0,2021,4,14
Intermountain,42.0,2022,3,13
Intermountain,,2024,3,8
Intermountain,42.0,2022,1,12
Intermountain,3.0,2020,1,9
Intermountain,43.0,2022,1,6
Intermountain,50.0,2023,6,18
Intermountain,,2020,9,12
Intermountain,58.0,2024,4,18
Intermountain,,2024,2,6
Intermountain,49.0,2023,3,18
Intermountain,21.0,2021,4,4
Intermountain,3.0,2020,9,1
Intermountain,21.0,2021,8,20
Intermountain,,2023,9,12
Intermountain,49.0,2023,7,21
Intermountain,21.0,2021,4,20
Intermountain,3.0,2020,3,5
Intermountain,49.0,2023,3,12
Intermountain,,2022,1,20
Intermountain,,2020,3,19
Intermountain,3.0,2020,3,20
Intermountain,21.0,2021,11,17
Intermountain,,2024,9,7
Intermountain,3.0,2020,1,4
Intermountain,,2024,5,17
Intermountain,3.0,2020,1,20
Intermountain,3.0,2020,11,17
Intermountain,,2022,3,17
Intermountain,45.0,2023,12,18
Intermountain,22.0,2021,1,9
Intermountain,22.0,2021,8,6
Intermountain,21.0,2021,5,4
Intermountain,3.0,2020,2,5
Intermountain,46.0,2023,3,19
Intermountain,,2022,2,3
Intermountain,21.0,2021,11,14
Intermountain,,2024,4,0
Intermountain,3.0,2020,10,3
Intermountain,,2024,3,10
Intermountain,42.0,2022,5,10
Intermountain,22.0,2021,3,16
Intermountain,59.0,2024,5,11
Intermountain,,2023,8,12
Intermountain,,2022,4,11
Intermountain,45.0,2023,9,19
Intermountain,,2023,10,7
Intermountain,45.0,2023,3,21
Intermountain,,2020,12,7
Intermountain,44.0,2022,9,2
Intermountain,46.0,2023,10,22
Intermountain,3.0,2020,3,11
Intermountain,44.0,2022,2,0
Intermountain,44.0,2022,6,9
Intermountain,45.0,2023,5,21
Intermountain,45.0,2023,8,0
Intermountain,44.0,2022,11,5
Intermountain,45.0,2023,1,23
Intermountain,,2022,2,6
Intermountain,44.0,2022,4,1
Intermountain,46.0,2023,12,23
Intermountain,43.0,2022,12,17
Intermountain,4.0,2020,9,2
Intermountain,,2024,10,14
Intermountain,,2021,5,20
Intermountain,22.0,2021,6,20
Intermountain,4.0,2020,2,3
Intermountain,45.0,2023,9,3
Intermountain,45.0,2023,5,1
Intermountain,43.0,2022,10,13
Intermountain,,2022,2,9
Intermountain,,2024,2,7
Intermountain,44.0,2022,2,15
Intermountain,4.0,2020,1,5
Intermountain,28.0,2021,3,15
Intermountain,4.0,2020,5,3
Intermountain,,2020,10,20
Intermountain,,2021,2,14
Intermountain,,2023,1,7
Intermountain,,2024,2,20
Intermountain,43.0,2022,9,7
Intermountain,4.0,2020,7,6
Intermountain,42.0,2022,12,1
Intermountain,4.0,2020,8,12
Intermountain,4.0,2020,6,10
Intermountain,,2024,10,17
Intermountain,4.0,2020,2,1
Intermountain,42.0,2022,12,0
Intermountain,45.0,2023,7,6
Intermountain,,2024,6,3
Intermountain,28.0,2021,3,19
Intermountain,42.0,2022,11,2
Intermountain,,2023,7,0
Intermountain,,2023,1,16
Intermountain,42.0,2022,5,10
Intermountain,28.0,2021,8,19
Intermountain,28.0,2021,4,10
Intermountain,45.0,2023,8,1
Intermountain,28.0,2021,5,4
Intermountain,,2024,10,17
Intermountain,,2020,6,22
Intermountain,4.0,2020,10,14
Intermountain,4.0,2020,2,15
Intermountain,28.0,2021,10,1
Intermountain,45.0,2023,7,19
Intermountain,45.0,2023,3,4
Intermountain,28.0,2021,12,20
Intermountain,,2024,7,1
Intermountain,28.0,2021,5,6
Intermountain,,2022,4,6
Intermountain,,2024,2,23
Intermountain,4.0,2020,2,20
Intermountain,28.0,2021,6,2
Intermountain,4.0,2020,11,2
Intermountain,,2023,4,23
Intermountain,42.0,2022,7,8
Intermountain,28.0,2021,8,20
Intermountain,68.0,2024,1,18
Intermountain,,2024,7,3
Intermountain,42.0,2022,11,22
Intermountain,28.0,2021,2,17
Intermountain,46.0,2023,7,21
Intermountain,46.0,2023,3,3
Intermountain,42.0,2022,9,15
Intermountain,46.0,2023,2,10
Intermountain,68.0,2024,2,5
Intermountain,43.0,2022,1,11
Intermountain,43.0,2022,12,7
Intermountain,4.0,2020,6,11
Intermountain,44.0,2023,3,14
Intermountain,,2022,7,22
Intermountain,,2024,8,12
Intermountain,44.0,2023,10,4
Intermountain,27.0,2021,3,23
Intermountain,4.0,2020,1,7
Intermountain,43.0,2022,7,3
Intermountain,,2024,2,13
Intermountain,45.0,2023,11,8
Intermountain,68.0,2024,8,9
Intermountain,45.0,2023,1,8
Intermountain,42.0,2022,1,8
Intermountain,,2022,2,20
Pacific West,,2024,4,12
Pacific West,45.0,2023,8,10
Pacific West,,2022,6,7
Pacific West,,2024,1,11
Pacific West,49.0,2023,11,21
Pacific West,,2021,12,18
Pacific West,49.0,2023,1,16
Pacific West,,2021,7,20
Pacific West,,2020,9,3
Pacific West,49.0,2023,1,6
Pacific West,27.0,2021,3,12
Pacific West,4.0,2020,12,20
Pacific West,49.0,2023,6,13
Pacific West,4.0,2020,5,14
Pacific West,49.0,2023,8,12
Pacific West,,2020,11,0
Pacific West,28.0,2021,1,5
Pacific West,43.0,2022,6,10
Pacific West,28.0,2021,2,4
Pacific West,,2020,5,2
Pacific West,28.0,2021,8,10
Pacific West,49.0,2023,10,3
Pacific West,43.0,2022,9,16
Pacific West,1.0,2020,6,11
Pacific West,,2021,11,23
Pacific West,43.0,2022,3,21
Pacific West,1.0,2020,10,7
Pacific West,1.0,2020,11,5
Pacific West,28.0,2021,12,11
Pacific West,,2024,2,16
Pacific West,49.0,2023,5,14
Pacific West,43.0,2022,5,19
Pacific West,42.0,2022,12,8
Pacific West,42.0,2022,8,21
Pacific West,,2022,7,2
Pacific West,,2024,1,19
Pacific West,,2023,1,9
Pacific West,28.0,2021,2,3
Pacific West,28.0,2021,3,4
Pacific West,27.0,2021,3,9
Pacific West,,2020,9,4
Pacific West,28.0,2021,10,0
Pacific West,,2024,5,2
Pacific West,2.0,2020,11,4
Pacific West,49.0,2023,9,2
Pacific West,49.0,2023,5,4
Pacific West,1.0,2020,5,10
Pacific West,43.0,2022,2,14
Pacific West,43.0,2022,2,11
Pacific West,,2022,9,3
Pacific West,1.0,2020,8,10
Pacific West,,2020,10,17
Pacific West,43.0,2022,9,6
Pacific West,68.0,2024,9,16
Pacific West,,2024,10,13
Pacific West,1.0,2020,1,18
Pacific West,50.0,2023,6,9
Pacific West,43.0,2022,3,0
Pacific West,43.0,2022,11,14
Pacific West,,2024,9,2
Pacific West,50.0,2023,6,21
Pacific West,43.0,2022,9,10
Pacific West,43.0,2022,1,15
Pacific West,,2024,5,0
Pacific West,42.0,2022,1,4
Pacific West,,2021,6,16
Pacific West,1.0,2020,8,14
Pacific West,50.0,2023,1,14
Pacific West,,2024,6,17
Pacific West,29.0,2021,8,16
Pacific West,50.0,2023,9,9
Pacific West,,2024,8,16
Pacific West,42.0,2022,6,0
Pacific West,50.0,2023,2,7
Pacific West,29.0,2021,9,11
Pacific West,29.0,2021,7,12
Pacific West,50.0,2023,12,1
Pacific West,,2022,11,23
Pacific West,,2020,4,7
Pacific West,29.0,2021,1,9
Pacific West,,2024,2,17
Pacific West,29.0,2021,6,12
Pacific West,1.0,2020,8,17
Pacific West,42.0,2022,11,18
Pacific West,50.0,2023,1,7
Pacific West,1.0,2020,8,2
Pacific West,29.0,2021,12,19
Pacific West,1.0,2020,10,21
Pacific West,42.0,2022,5,4
Pacific West,50.0,2023,12,8
Pacific West,1.0,2020,10,21
Pacific West,42.0,2022,7,5
Pacific West,50.0,2023,3,20
Pacific West,,2024,3,18
Pacific West,,2020,5,4
Pacific West,50.0,2023,7,23
Pacific West,,2024,6,6
Pacific West,,2024,6,14
Pacific West,48.0,2023,1,3
Pacific West,42.0,2022,1,0
